text,cluster,llm_label,llm_direct
"Kerry Says He's in a 'Fighting Mood'. Democratic Sen. John Kerry said Saturday he's in ""fighting mood"" with two months to go to the presidential as his allies defended him from questions about his valor in Vietnam.",3,Iraq / President,Iraq / President
"North Korea Resists Talks on Nuclear Arms. North Korea said Monday that it will not resume talks on its nuclear weapons program until the Bush administration ends its ""hostile policy "" against Pyongyang and",3,Iraq / President,Microsoft / New
Arsenal loses again in Premier League. Arsenal dropped five points behind Chelsea in the English Premier League on Sunday after losing 2-1 to Liverpool on an injury-time goal by Neil Mellor.,1,Game / Season,Microsoft / New
"Arafat memorial important - Mbeki. Describing Yasser Arafat as one of the giants of the twentieth century, SA president Thabo Mbeki said it was important for him to be at his memorial service in Cairo on Friday.",3,Iraq / President,Iraq / President
"US raids Net song swappers. US agents have raided the homes of five people who allegedly traded hundreds of thousands of songs, movies and other copyrighted material over the Internet, Attorney General John Ashcroft says.",3,Iraq / President,Microsoft / New
"Gunmen ambush Chalabi 's convoy, wound 2. BAGHDAD - Gunmen ambushed the convoy of former Iraqi governing council president Ahmed Chalabi on Wednesday, wounding two of his bodyguards, aides said.",3,Iraq / President,Iraq / President
"Zeman 's Lecce enjoy heady heights of Serie A. When Lecce sold their prolific Uruguayan striker Ernesto Chevanton to French club Monaco in the close-season, many pundits added the southern club to the list of favourites for relegation.",1,Game / Season,Game / Season
Al Qaeda Urge Wide-Scale Muslim Resistance. Al Qaeda 's No. 2 man Ayman Zawahiri called for an all-out armed resistance in the Muslim world against the West and Jews whom he described as crusaders.,3,Iraq / President,Microsoft / New
"Nothing doing. Well, that didn 't go very well, did it? Everybody knew the NHL planned on turning down the NHLPA 's latest offer yesterday, but the hockey world still held its breath when the two adversaries met face to face",1,Game / Season,Microsoft / New
Chavez rejects CD as opposition. Venezuela 's President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,3,Iraq / President,Iraq / President
"Nobel Economics Prize Awarded. Norwegian-born Finn Kydland and Edward Prescott of the United States won the 2004 Nobel economics prize, the Royal Swedish Academy of Sciences said on Monday.",3,Iraq / President,Microsoft / New
"Cricket swings to Calypso once again. From the time you touch down in the British Isles, you get an overwhelming sense of grey. The skies are almost always leaden, the clothes people wear are generally either black or neutral shades guaranteed",3,Iraq / President,Microsoft / New
"Report: Gretzky pondering a move to coaching. Mesa, AZ (Sports Network) - Phoenix Coyotes managing partner Wayne Gretzky is considering a move into the coaching ranks, according to a published report.",1,Game / Season,Microsoft / New
US MNT Streaking Into Final Round. The US mens national team will look to extend their record unbeaten streak to 13 matches when the take on Jamaica at Columbus Crew Stadium in its final match of semifinal-round qualifying for the 2006 FIFA World Cup.,1,Game / Season,Microsoft / New
"CA aquires computer security firm. Computer Associates International Inc., as promised, is back in the acquisition game, scooping up its second computer security company in as many months with an agreement to buy Netegrity Inc.",0,Microsoft / New,Game / Season
"Time on a Chip: The Incredible Shrinking Atomic Clock. Researchers are developing tiny atomic clocks that could be made using standard semiconductor processes and slipped into cellphones, hand-held computers and global positioning system receivers.",0,Microsoft / New,Microsoft / New
Coming to Project Managers: Multiscreen Microsoft PC. Microsoft Corp. has launched a new entry in its ongoing effort to bring more innovative PC form factors to marketin the somewhat quirky form of a high-end system specialized for project managers.,0,Microsoft / New,Microsoft / New
"The Week: No. 1 at Last. water running over a rock, wind ripping across a sand dune, the ocean washing up against the shore. Whatever the image, for the last three years Vijay Singh has been the",3,Iraq / President,Microsoft / New
"Iran says it will stop enriching uranium. WASHINGTON -- Iran pledged yesterday to temporarily suspend its uranium enrichment program in an attempt to ease suspicions that it is trying to develop nuclear weapons. The move could defuse a longstanding showdown with the United States over Iran's nuclear activities, diplomats said.",3,Iraq / President,Microsoft / New
Turkish Company Freezes Operations in Iraq. A Turkish construction company announced Tuesday that it was halting operations in neighboring Iraq in a bid to save the lives of 10 employees kidnapped by militants.,3,Iraq / President,Iraq / President
"NTT DoCoMo, Motorola tie up on 3G handsets. NTT DoCoMo will release a handset compatible with non-Japanese cellular networks and with its own 3G (third generation) mobile network early next year.",0,Microsoft / New,Microsoft / New
Stern: 'I 'm tired of censorship '; switches channels. The local radio galaxy tilted on its axis Wednesday when New York shock jock Howard Stern announced he would abandon the radio dial in 2006 for satellite subscriber radio.,0,Microsoft / New,Microsoft / New
"Media speculate on successor as England coach prepares to step.... With Sir Clive Woodward seemingly on his way to soccer, England 's rugby team is looking for a new coach to follow up last year 's World Cup triumph.",1,Game / Season,Microsoft / New
"Scientist Ramanna mourned. BOMBAY: Raja Ramanna, the scientist who pioneered India 's drive to become a nuclear power, died yesterday in Bombay at age 79.",3,Iraq / President,Microsoft / New
"Redskins Underway. The Redskins and Cowboys are underway from FedEx Field, a game that marks the first time legends Joe Gibbs and Bill Parcells have faced each other since 1990.",1,Game / Season,Game / Season
UConn passes first test. Dan Orlovsky threw for 382 yards and tied his school record with five touchdown passes to lead Connecticut to a 52-14 win over Murray State yesterday in East Hartford.,1,Game / Season,Microsoft / New
"US Says No Plans to Sign New Climate Change Pacts. The United States, considered an environmental laggard by its critics, is unlikely to sign any new pacts on climate change at a key environmental meeting this month, a senior. official said on Thursday.",3,Iraq / President,Microsoft / New
"Iraqi Leader Thanks. in Speech to Congress. Offering a simple, ""Thank you America,"" Iraqi interim Prime Minister Ayad Allawi declared Thursday that his country is succeeding in its effort to move past the war that ousted Saddam Hussein.",3,Iraq / President,Iraq / President
Virender Sehwag turns in 133 not out. Virender Sehwag 's smashing century spurred India in the second test match Friday after Australian leg-spinner Shane Warne surged to the top of test cricket 's all-time wicket-takers by dismissing Irfan Pathan for his 533rd wicket.,1,Game / Season,Microsoft / New
Dutch Film Director Theo Van Gogh Killed. Dutch film director and columnist Theo van Gogh was shot and killed yesterday morning in Amsterdam. The company Gogh owned and worked explained that he was attacked and murdered in the morning at Lineaustraat Street.,3,Iraq / President,Microsoft / New
Bangkok animal trade talks open. The rules controlling the trade in many at-risk wildlife species may change at a Bangkok meeting starting on Saturday. The 166 member states of the Convention on International Trade in Endangered Species of,3,Iraq / President,Microsoft / New
"PayPal Technical Snafu Hits eBay Online Commerce. Technical problems for online payment service PayPal are hampering e-commerce on the eBay online marketplace. The payment service, which is owned by eBay, has been experiencing problems since last Friday when",0,Microsoft / New,Microsoft / New
"Official: EU Will Help Rebuild Somalia. The European Union will help rebuild conflict-ravaged Somalia, but the cost is not clear, the EU's foreign policy chief said Saturday.",3,Iraq / President,Microsoft / New
"US Says Ukraine Can Still Salvage a Free and Fair Election. The United States says Friday Ukraine still has an opportunity to conduct a free and fair presidential election Sunday, despite a campaign marred by charges of pro-government bias.",3,Iraq / President,Iraq / President
Delhomme Questionable Against Cardinals. Carolina quarterback Jake Delhomme did not practice Wednesday and is questionable this week because of a broken bone in his right thumb.,1,Game / Season,Microsoft / New
"Selling Houston Warts and All, Especially Warts. Descriptions of urban afflictions and images of giant mosquitoes and cockroaches to convey a sense of how Houston is nevertheless beloved by many residents.",1,Game / Season,Microsoft / New
"Health Care Technology Is a Promise Unfinanced. While the Bush administration's words of support for a high-technology future for health care have been plentiful, the dollars, it seems, are scarce.",0,Microsoft / New,Microsoft / New
Strongwoman hoists 100th gold for Chinese delegation. Tang Gonghong lifted a world record to claim in Athens the 100th Olympic gold for China since its participation in 1984 Olympic Games on Saturday when,1,Game / Season,Game / Season
"THE UNFOLDING UNIFORM. Pakistan is inherently unstable. Dealing with them is like playing with matches in a forest. - Larry Pressler. That statement from Larry Pressler, made during his recent visit to India, coincided with",1,Game / Season,Microsoft / New
The king who courted the Khmer Rouge (and survived). The career of King Norodom Sihanouk of Cambodia has been a bewildering trail of political twists and expedient turns. Now the man they call the 'mercurial monarch ' has announced his abdication.,3,Iraq / President,Microsoft / New
"Ivory Coast arms embargo backed. ABIDJAN, Ivory Coast -- African leaders backed an arms embargo and other immediate UN sanctions against Ivory Coast yesterday, isolating President Laurent Gbagbo's hard-line government even further in its deadly confrontation with its former colonial ruler, France.",3,Iraq / President,Iraq / President
"A traditional victory for A-B. Ask anyone associated with the Acton-Boxboro football program about the secret to its success, and they'll say it's rooted in a winning tradition established long before members of the 2004 team ever strapped on a helmet.",1,Game / Season,Microsoft / New
"Screensaver Strikes Back at Spammers. New software allows recipients of spam to band together to target known websites behind the messages. The idea is to bombard the sites with messages, slowing them down and making them more expensive to run.",0,Microsoft / New,Microsoft / New
"Motorola Aims to Sharpen Design Edge. In a 26th-floor office suite overlooking Lake Michigan, some 40 industrial designers, mechanical engineers and specialists in fields ranging from anthropology to musicology",0,Microsoft / New,Microsoft / New
